
2Co 1:2	Corinthians Apparatus Data
Order of edition citation: WH Treg NIV RP

2Co 1:1	Χριστοῦ Ἰησοῦ WH Treg NIV ] Ἰησοῦ Χριστοῦ RP
2Co 1:6	εἴτε παρακαλούμεθα, ὑπὲρ τῆς ὑμῶν παρακλήσεως WH NIV ] – Treg RP
2Co 1:7	ὑμῶν WH NIV ] + εἴτε παρακαλούμεθα, ὑπὲρ τῆς ὑμῶν παρακλήσεως καὶ σωτηρίας Treg RP • ὡς WH Treg NIV ] ὥσπερ RP
2Co 1:8	ὑπὲρ WH NIV RP ] περὶ Treg • γενομένης WH Treg NIV ] + ἡμῖν RP • ὑπὲρ δύναμιν ἐβαρήθημεν WH Treg NIV ] ἐβαρήθημεν ὑπὲρ δύναμιν RP
2Co 1:10	ῥύσεται WH Treg NIV ] ῥύεται RP
2Co 1:11	ἡμῶν WH Treg NIV ] ὑμῶν RP
2Co 1:12	ἁγιότητι WH Treg NIV ] ἁπλότητι RP NA • τοῦ WH Treg NIV ] – RP • οὐκ Treg NIV RP ] καὶ οὐκ WH NA
2Co 1:13	ὅτι WH Treg NIV ] + καὶ RP
2Co 1:14	ἡμῶν WH NA ] – Treg NIV RP
2Co 1:15	πρότερον πρὸς ὑμᾶς ἐλθεῖν WH Treg NIV ] ἐλθεῖν πρὸς ὑμᾶς τὸ πρότερον RP • χάριν Treg NIV RP ] χαρὰν WH • σχῆτε WH Treg NIV ] ἔχῆτε RP
2Co 1:17	βουλόμενος WH Treg NIV ] βουλευόμενος RP
2Co 1:18	ἔστιν WH Treg NIV ] ἐγένετο RP
2Co 1:19	τοῦ θεοῦ γὰρ WH Treg NIV ] γὰρ τοῦ θεοῦ RP • Ἰησοῦς Χριστὸς Treg NIV RP ] Χριστὸς Ἰησοῦς WH
2Co 1:20	διὸ WH Treg NIV ] – RP • δι᾽ αὐτοῦ WH Treg NIV ] ἐν αὐτῷ RP

2Co 2:1	γὰρ WH NIV ] δὲ Treg RP
2Co 2:2	τίς WH Treg NIV ] + ἐστιν RP
2Co 2:3	ἔγραψα WH Treg NIV ] + ὑμῖν RP • σχῶ WH Treg NIV ] ἔχω RP
2Co 2:7	μᾶλλον Treg NIV RP ] – WH
2Co 2:10	ὃ κεχάρισμαι, εἴ τι WH Treg NIV ] εἴ τι κεχάρισμαι ᾧ RP
2Co 2:16	⸀ἐκ WH Treg NIV ] – RP • ⸁ἐκ WH Treg NIV ] – RP
2Co 2:17	πολλοὶ WH Treg NIV ] λοιποί RP • κατέναντι WH Treg NIV ] κατενώπιον τοῦ RP

2Co 3:1	συνιστάνειν WH NIV RP ] συνιστᾶν Treg • ἢ WH Treg NIV ] Εἰ RP • ὑμῶν WH Treg NIV ] +συστατικῶν RP
2Co 3:5	ἀφ’ ἑαυτῶν ἱκανοί ἐσμεν WH Treg NIV ] ἱκανοί ἐσμεν ἀφ’ ἑαυτῶν RP • αὑτῶν WH ] αὐτῶν Treg; ἑαυτῶν NIV RP
2Co 3:7	γράμμασιν WH NIV RP ] γράμματι Treg • ἐντετυπωμένη WH Treg NIV ] + ἐν RP
2Co 3:9	τῇ διακονίᾳ Treg NIV ] ἡ διακονία WH RP • δικαιοσύνης WH Treg NIV ] + ἐν RP
2Co 3:10	εἵνεκεν WH Treg NIV ] ἕνεκεν RP
2Co 3:13	αὐτοῦ WH Treg NIV ] ἑαυτοῦ RP
2Co 3:14	ἡμέρας WH Treg NIV ] – RP • ὅτι WH Treg NIV ] ὅ τι RP
2Co 3:15	ἂν ἀναγινώσκηται WH Treg NIV ] ἀναγινώσκεται RP
2Co 3:16	δὲ ἐὰν WH NIV] δὲ ἂν Treg RP
2Co 3:17	κυρίου WH Treg NIV ] + ἐκεῖ RP

2Co 4:1	ἐγκακοῦμεν WH Treg NIV ] ἐκκακοῦμεν RP
2Co 4:2	συνιστάνοντες WH NIV ] συνιστάντες Treg; συνιστῶντες RP
2Co 4:4	αὐγάσαι WH Treg NIV ] + αὐτοῖς RP
2Co 4:5	Χριστὸν Ἰησοῦν WH Treg RP ] Ἰησοῦν Χριστὸν NIV
2Co 4:6	λάμψει WH Treg NIV ] λάμψαι RP • Χριστοῦ WH Treg NIV ] Ἰησοῦ Χριστοῦ RP NA
2Co 4:10	τοῦ WH Treg NIV ] + κυρίου RP
2Co 4:12	ὁ WH Treg NIV ] + μὲν RP
2Co 4:14	τὸν Holmes WHmarg ] + κύριον WH Treg NIV RP • σὺν WH Treg NIV ] διὰ RP
2Co 4:16	ἐγκακοῦμεν WH Treg NIV ] ἐκκακοῦμεν RP • ἔσω ἡμῶν WH Treg NIV ] ἔσωθεν RP
